sha256,canonical_path,first_repo,first_branch,first_seen_commit
3c15174d7808a3138e7b6c38bfc6382cf04278b506f9b08761a2715c8f1f4d4b,Python\GoogleAntiGraviryProjets\modules\python\SingtelBills\sintelBill-pdf-excel_v1.py,Python,GoogleAntiGraviryProjets,
81ef0b551420aa2c569d8d84dea200cc6ba3899edc38ca2a1fd8939ad51bd2dd,Python\GoogleAntiGraviryProjets\apps\Singtel_Bill_Analysis_dec2025.xlsx,Python,GoogleAntiGraviryProjets,
3344cc2da8e13be5e2c13634fc0e5047c4aa676638eace38cc997d14f9868fd0,Python\GoogleAntiGraviryProjets\apps\Turbine Upgrade Assessment.docx,Python,GoogleAntiGraviryProjets,
92329a75128fd7ed122014f09545c153e88588dd1c45fcc967881a56ca8b004f,Python\GoogleAntiGraviryProjets\apps\UnixSxripting\clone_market_instances.sh,Python,GoogleAntiGraviryProjets,
d544508b5a0612d0c772659923218dbdba3f2e1b6332acef07ca0f106eeeeeab,Python\GoogleAntiGraviryProjets\modules\python\UnixSxripting\jbossmigration\decompose-jb7-stanalone-ha.py,Python,GoogleAntiGraviryProjets,
523b6ab189f5ebc9ef413641ae0f1fa7c5faf52677131e62df5dc9b9145b0534,Python\GoogleAntiGraviryProjets\docs\checkVenvParentVersion.txt,Python,GoogleAntiGraviryProjets,
78850de1907ee9ef747fcece2359f46d87967665509dfef8614cb93b59dd4125,Python\GoogleAntiGraviryProjets\modules\python\codegenerator\codegen.py,Python,GoogleAntiGraviryProjets,
d8d02df811ce5c9feb7d2b522d12dc7c05a7ed7e881f769b352b734209a663de,Python\GoogleAntiGraviryProjets\modules\python\common\__init__.py,Python,GoogleAntiGraviryProjets,
f8539146a02e594737f1b858613270034c0a5051726df0ca2d345f4cf8393035,Python\GoogleAntiGraviryProjets\apps\common\config.ini,Python,GoogleAntiGraviryProjets,
392c936638202ffabeaf3361ea509d7da536daeb4bc1de59328618c178cf0c66,Python\GoogleAntiGraviryProjets\modules\python\common\config_loader.py,Python,GoogleAntiGraviryProjets,
fae85310b69fc7d12199baf6b522b477333e79fad3739e5ed5834209ec034916,Python\GoogleAntiGraviryProjets\modules\python\common\connectors.py,Python,GoogleAntiGraviryProjets,
da1e36cdf01ce5f510f298f19b5677f23e8f8b4878d982b32a63e1a8804e31dd,Python\GoogleAntiGraviryProjets\modules\python\common\test_common.py,Python,GoogleAntiGraviryProjets,
d2310eca152da4a44f08acdee1a3b629a93ed54d6c2b8b3c52c4085adc7a8dc7,Python\GoogleAntiGraviryProjets\apps\jaxb-tomcat10\pom.xml,Python,GoogleAntiGraviryProjets,
e8d2092620ceef78e9f4baf647c4a57329a9b1c8a431abb6e3c8e63a7dd7984c,Python\GoogleAntiGraviryProjets\modules\java\jaxb-tomcat10\src\main\java\com\example\model\Person.java,Python,GoogleAntiGraviryProjets,
a65392b0dde4628578589ea13b07c028c2c09164b1ee0f55f22592410dc8f9cd,Python\GoogleAntiGraviryProjets\modules\java\jaxb-tomcat10\src\main\java\com\example\web\PersonServlet.java,Python,GoogleAntiGraviryProjets,
bbacb26d2d763f62a7f8cc54b3ae082cfd8d33e458849976718985e10077d0f6,Python\GoogleAntiGraviryProjets\apps\jaxb-tomcat10\src\main\webapp\WEB-INF\web.xml,Python,GoogleAntiGraviryProjets,
4eb09990652929d1846bae317583714d434bef8a517abbe04d2f3ea9c6246e39,Python\GoogleAntiGraviryProjets\apps\jaxb-tomcat9\pom.xml,Python,GoogleAntiGraviryProjets,
37806ab847eaaf441791db52fbdf3606c1bd9eb5126df597e222095a31ab8a34,Python\GoogleAntiGraviryProjets\modules\java\jaxb-tomcat9\src\main\java\com\example\model\Person.java,Python,GoogleAntiGraviryProjets,
b9a069b177870985958b4ee4b83f98046749581d41cdef13c17732a1c15cde4f,Python\GoogleAntiGraviryProjets\modules\java\jaxb-tomcat9\src\main\java\com\example\web\PersonServlet.java,Python,GoogleAntiGraviryProjets,
a5631330e212851853deaf81a8de37ee3e39e479c8160578e0d5de173bf804a0,Python\GoogleAntiGraviryProjets\apps\jaxb-tomcat9\src\main\webapp\WEB-INF\web.xml,Python,GoogleAntiGraviryProjets,
1563d0dc2bed867bb0dbbeb60825397c57c65794f4d4c4b19e4f757a00e38a34,Python\GoogleAntiGraviryProjets\apps\jboss8-rar-deployment.docx,Python,GoogleAntiGraviryProjets,
9be2cdeac949592d5bbcf45dda624144565d04516111158588e93729b2bee9bc,Python\GoogleAntiGraviryProjets\docs\jbossmigration\JBoss_Migration_Analysis.md,Python,GoogleAntiGraviryProjets,
116c10a3c8701a23f9d4506a728df9a449809d6756e6ac8353acb4780c24c75d,Python\GoogleAntiGraviryProjets\modules\js-ts\jbossmigration\config.json,Python,GoogleAntiGraviryProjets,
51868248ae3a2405d8f5587fd831dcd225d473ec417049de29cd4b94226f245d,Python\GoogleAntiGraviryProjets\modules\python\jbossmigration\copy-jboss73-Jboss80.py,Python,GoogleAntiGraviryProjets,
feaf053327b3493d40aa27271551960f3ad953807fdda67902f10a56b5dce226,Python\GoogleAntiGraviryProjets\modules\python\jbossmigration\copy_jboss7modules_jboss8.py,Python,GoogleAntiGraviryProjets,
b44fb9129135a10cc3333afba9eb6a85db456fa623b4192b565bad875962724a,Python\GoogleAntiGraviryProjets\modules\python\jbossmigration\decompose-jb7-stanalone-ha_v1.py,Python,GoogleAntiGraviryProjets,
1c683ba6dd3d32f3fcf474f635bb319a9dc1139d09f43875bb7fc0ac0919cb61,Python\GoogleAntiGraviryProjets\docs\jbossmigration\javasourceconsolidate.txt,Python,GoogleAntiGraviryProjets,
cac3a4e25bfbf41e5fa01a74e41876898cd791a7c2994e8c493179d81079ce40,Python\GoogleAntiGraviryProjets\modules\python\jbossmigration\migrator.py,Python,GoogleAntiGraviryProjets,
03c6f0949daab0d98f9707079ff1f7d3eb78a363ef7f8ad7f2edabb12011f828,Python\GoogleAntiGraviryProjets\modules\python\jbossmigration\namespceupdate.py,Python,GoogleAntiGraviryProjets,
e13ebb3b2cdabab9dd252d44501b8a9cf17bbd442ad46101889c9a458ff99dbd,Python\GoogleAntiGraviryProjets\modules\python\jbossmigration\subsystems-require-rewrite.py,Python,GoogleAntiGraviryProjets,
640e4d72696b0dea0a2a8fac1b86dc85f513d0d9368a950a12bc5885714177cc,Python\GoogleAntiGraviryProjets\docs\jbossmigration\torqueschemageneration.txt,Python,GoogleAntiGraviryProjets,
520bf64756aaa31d4b36d751daf490a35cc3c82187886c30054ece9659c041c5,Python\GoogleAntiGraviryProjets\docs\migration_docs\cyclic_dependency_guide.md,Python,GoogleAntiGraviryProjets,
98a442e1a7b55580fd5930a140b5f0ee8b10a3decd422069bd30b219fda2457c,Python\GoogleAntiGraviryProjets\docs\migration_docs\jetspeed_adapter_deep_dive.md,Python,GoogleAntiGraviryProjets,
f25e0cf3ff31a9ea054f19d2e111ac1bf7707e013362c8f8b1b75799921efb30,Python\GoogleAntiGraviryProjets\docs\migration_docs\migration_strategy.md,Python,GoogleAntiGraviryProjets,
c580bc513162f7aba63442252fc8300b8c9bdec2cb502373d41a6a0e5a465f84,Python\GoogleAntiGraviryProjets\docs\migration_docs\modularization_guide.md,Python,GoogleAntiGraviryProjets,
3db2cd0f0aa0d4c63cb25f7cdab35345b796f59131897304d8514260b9d48371,Python\GoogleAntiGraviryProjets\modules\python\migration_docs\module_extractor.py,Python,GoogleAntiGraviryProjets,
72884662f0926bd946181209d67bfd3c26172651fc055a1cb9a5d526b2e0b585,Python\GoogleAntiGraviryProjets\docs\migration_docs\no_schema_migration_analysis.md,Python,GoogleAntiGraviryProjets,
82a3c9381bd5e2caa23d1613f43feca81265c46e35b509dd9c1245fb604c9a85,Python\GoogleAntiGraviryProjets\docs\migration_docs\schema_reconstruction_guide.md,Python,GoogleAntiGraviryProjets,
477bc6edba3dddbe5d6e35443e09c873de800c9587637307d8e28144afba716a,Python\GoogleAntiGraviryProjets\modules\python\migration_docs\schema_recover.py,Python,GoogleAntiGraviryProjets,
eb34f9a61696aff5e7d9d9c21873a636ea1d95df4c3c440b3e01100ed5556aff,Python\GoogleAntiGraviryProjets\docs\migration_docs\technical_complexity.md,Python,GoogleAntiGraviryProjets,
6d462d474bf38dc206b9812e04fcb1d8c7b6e0547abeca1cad6ce62e5e270c17,Python\GoogleAntiGraviryProjets\modules\python\migration_docs\village_refactor.py,Python,GoogleAntiGraviryProjets,
76939500060b409f9f3e2c099d003ccba0b059d6b8626f1e0b3be35c4fecd426,Python\GoogleAntiGraviryProjets\docs\migration_poc\compilation_results.md,Python,GoogleAntiGraviryProjets,
090bde27c69aafe7ac7dc29392729596f12623483d0e92660361124b7044eafe,Python\GoogleAntiGraviryProjets\apps\migration_poc\pom.xml,Python,GoogleAntiGraviryProjets,
007586b42bb661b71b3eb0426e9c2ac0492a5cde433dddb8eeb1c74675c06adc,Python\GoogleAntiGraviryProjets\apps\migration_poc\schema.xml,Python,GoogleAntiGraviryProjets,
